案例 ID,入库时间,日期,类型,药物类型,器械类型,分期,事件,结果,赔偿,来源
ACC-202603-20260305-000,2026-03-30 10:37:37,2026-03-05,药物临床试验,抗肿瘤药,,I 期,严重骨髓抑制,1 例死亡,280 万元,NMPA 公告
ACC-202603-20260312-000,2026-03-30 10:37:53,2026-03-12,医疗器械试验,,心血管支架,III 期,支架内血栓,2 例心肌梗死,150 万元,医院报告
ACC-202603-20260318-001,2026-03-30 10:37:53,2026-03-18,细胞治疗试验,CAR-T,,II 期,细胞因子风暴,经救治康复,80 万元,文献报告
ACC-202603-20260318-000,2026-03-30 10:38:02,2026-03-18,细胞治疗试验,CAR-T,,II 期,细胞因子风暴,经救治康复,80 万元,文献报告
ACC-202604-20260305-000,2026-04-01 09:00:01,2026-03-05,药物临床试验,抗肿瘤药,,I 期,严重骨髓抑制,1 例死亡,280 万元,NMPA 公告
ACC-202604-20260312-001,2026-04-01 09:00:01,2026-03-12,医疗器械试验,,心血管支架,III 期,支架内血栓,2 例心肌梗死,150 万元,医院报告
ACC-202604-20260318-002,2026-04-01 09:00:01,2026-03-18,细胞治疗试验,CAR-T,,II 期,细胞因子风暴,经救治康复,80 万元,文献报告
ACC-202604-20260312-000,2026-04-01 20:00:02,2026-03-12,医疗器械试验,,心血管支架,III 期,支架内血栓,2 例心肌梗死,150 万元,医院报告
ACC-202604-20260318-001,2026-04-01 20:00:02,2026-03-18,细胞治疗试验,CAR-T,,II 期,细胞因子风暴,经救治康复,80 万元,文献报告
ACC-202604-20260318-000,2026-04-01 20:53:18,2026-03-18,细胞治疗试验,CAR-T,,II 期,细胞因子风暴,经救治康复,80 万元,文献报告
