收集时间,月份,保险公司,基础费率,限额
2026-03-30 10:37:37,2026-03,人保财险,2.8‰,500-1000 万
2026-03-30 10:37:37,2026-03,人保财险,3.5‰,1000-3000 万
2026-03-30 10:37:37,2026-03,平安产险,2.5‰,300-800 万
2026-03-30 10:37:37,2026-03,太平洋产险,2.6‰,500-1500 万
2026-03-30 10:37:37,2026-03,美亚保险,3.8‰,1000-5000 万
2026-03-30 10:37:53,2026-03,人保财险,2.8‰,500-1000 万
2026-03-30 10:37:53,2026-03,人保财险,3.5‰,1000-3000 万
2026-03-30 10:37:53,2026-03,平安产险,2.5‰,300-800 万
2026-03-30 10:37:53,2026-03,太平洋产险,2.6‰,500-1500 万
2026-03-30 10:37:53,2026-03,美亚保险,3.8‰,1000-5000 万
2026-03-30 10:38:02,2026-03,人保财险,2.8‰,500-1000 万
2026-03-30 10:38:02,2026-03,人保财险,3.5‰,1000-3000 万
2026-03-30 10:38:02,2026-03,平安产险,2.5‰,300-800 万
2026-03-30 10:38:02,2026-03,太平洋产险,2.6‰,500-1500 万
2026-03-30 10:38:02,2026-03,美亚保险,3.8‰,1000-5000 万
