案例 ID,入库时间,日期,品牌,型号,事故类型,地点,损失,伤亡,原因,来源
DRONE-202603-20260308-000,2026-03-30 10:40:30,2026-03-08,大疆 DJI,Mini 4 Pro,失控坠机,广东省深圳市,机损 8 万元,无,信号干扰,保险公司理赔报告
DRONE-202603-20260315-001,2026-03-30 10:40:30,2026-03-15,XAG 极飞,P150 2025 款,电池故障,江苏省南京市,机损 15 万元 + 物损 5 万元,1 人轻伤,电池老化,监管报告
DRONE-202603-20260322-002,2026-03-30 10:40:30,2026-03-22,JOUAV 纵横,CW-15,操作失误,浙江省杭州市,机损 25 万元,无,飞手培训不足,保险公司理赔报告
DRONE-202603-20260315-000,2026-03-30 20:49:05,2026-03-15,XAG 极飞,P150 2025 款,电池故障,江苏省南京市,机损 15 万元 + 物损 5 万元,1 人轻伤,电池老化,监管报告
DRONE-202603-20260322-001,2026-03-30 20:49:05,2026-03-22,JOUAV 纵横,CW-15,操作失误,浙江省杭州市,机损 25 万元,无,飞手培训不足,保险公司理赔报告
DRONE-202603-20260322-000,2026-03-31 09:00:02,2026-03-22,JOUAV 纵横,CW-15,操作失误,浙江省杭州市,机损 25 万元,无,飞手培训不足,保险公司理赔报告
DRONE-202604-20260308-000,2026-04-01 09:00:01,2026-03-08,大疆 DJI,Mini 4 Pro,失控坠机,广东省深圳市,机损 8 万元,无,信号干扰,保险公司理赔报告
DRONE-202604-20260315-001,2026-04-01 09:00:01,2026-03-15,XAG 极飞,P150 2025 款,电池故障,江苏省南京市,机损 15 万元 + 物损 5 万元,1 人轻伤,电池老化,监管报告
DRONE-202604-20260322-002,2026-04-01 09:00:01,2026-03-22,JOUAV 纵横,CW-15,操作失误,浙江省杭州市,机损 25 万元,无,飞手培训不足,保险公司理赔报告
DRONE-202604-20260315-000,2026-04-01 20:00:02,2026-03-15,XAG 极飞,P150 2025 款,电池故障,江苏省南京市,机损 15 万元 + 物损 5 万元,1 人轻伤,电池老化,监管报告
DRONE-202604-20260322-001,2026-04-01 20:00:02,2026-03-22,JOUAV 纵横,CW-15,操作失误,浙江省杭州市,机损 25 万元,无,飞手培训不足,保险公司理赔报告
DRONE-202604-20260322-000,2026-04-02 09:00:02,2026-03-22,JOUAV 纵横,CW-15,操作失误,浙江省杭州市,机损 25 万元,无,飞手培训不足,保险公司理赔报告
