收集时间,月份,品牌,型号,销量,环比
2026-03-30 10:40:30,2026-03,大疆 DJI,Mini 4 Pro,500000,+5%
2026-03-30 10:40:30,2026-03,大疆 DJI,Air 3,350000,+8%
2026-03-30 10:40:30,2026-03,大疆 DJI,Mavic 3 Pro,280000,+3%
2026-03-30 10:40:30,2026-03,大疆 DJI,Mini SE,320000,+2%
2026-03-30 10:40:30,2026-03,XAG 极飞,P150 2025 款,25000,+15%
2026-03-30 10:40:30,2026-03,XAG 极飞,P40 2024 款,15000,-5%
2026-03-30 10:40:30,2026-03,JOUAV 纵横,CW-15,5000,+10%
2026-03-30 10:40:30,2026-03,JOUAV 纵横,CW-15E,3000,+8%
2026-03-30 20:49:05,2026-03,大疆 DJI,Mini 4 Pro,500000,+5%
2026-03-30 20:49:05,2026-03,大疆 DJI,Air 3,350000,+8%
2026-03-30 20:49:05,2026-03,大疆 DJI,Mavic 3 Pro,280000,+3%
2026-03-30 20:49:05,2026-03,大疆 DJI,Mini SE,320000,+2%
2026-03-30 20:49:05,2026-03,XAG 极飞,P150 2025 款,25000,+15%
2026-03-30 20:49:05,2026-03,XAG 极飞,P40 2024 款,15000,-5%
2026-03-30 20:49:05,2026-03,JOUAV 纵横,CW-15,5000,+10%
2026-03-30 20:49:05,2026-03,JOUAV 纵横,CW-15E,3000,+8%
2026-03-31 09:00:02,2026-03,大疆 DJI,Mini 4 Pro,500000,+5%
2026-03-31 09:00:02,2026-03,大疆 DJI,Air 3,350000,+8%
2026-03-31 09:00:02,2026-03,大疆 DJI,Mavic 3 Pro,280000,+3%
2026-03-31 09:00:02,2026-03,大疆 DJI,Mini SE,320000,+2%
2026-03-31 09:00:02,2026-03,XAG 极飞,P150 2025 款,25000,+15%
2026-03-31 09:00:02,2026-03,XAG 极飞,P40 2024 款,15000,-5%
2026-03-31 09:00:02,2026-03,JOUAV 纵横,CW-15,5000,+10%
2026-03-31 09:00:02,2026-03,JOUAV 纵横,CW-15E,3000,+8%
2026-03-31 20:00:02,2026-03,大疆 DJI,Mini 4 Pro,500000,+5%
2026-03-31 20:00:02,2026-03,大疆 DJI,Air 3,350000,+8%
2026-03-31 20:00:02,2026-03,大疆 DJI,Mavic 3 Pro,280000,+3%
2026-03-31 20:00:02,2026-03,大疆 DJI,Mini SE,320000,+2%
2026-03-31 20:00:02,2026-03,XAG 极飞,P150 2025 款,25000,+15%
2026-03-31 20:00:02,2026-03,XAG 极飞,P40 2024 款,15000,-5%
2026-03-31 20:00:02,2026-03,JOUAV 纵横,CW-15,5000,+10%
2026-03-31 20:00:02,2026-03,JOUAV 纵横,CW-15E,3000,+8%
2026-04-01 09:00:01,2026-04,大疆 DJI,Mini 4 Pro,500000,+5%
2026-04-01 09:00:01,2026-04,大疆 DJI,Air 3,350000,+8%
2026-04-01 09:00:01,2026-04,大疆 DJI,Mavic 3 Pro,280000,+3%
2026-04-01 09:00:01,2026-04,大疆 DJI,Mini SE,320000,+2%
2026-04-01 09:00:01,2026-04,XAG 极飞,P150 2025 款,25000,+15%
2026-04-01 09:00:01,2026-04,XAG 极飞,P40 2024 款,15000,-5%
2026-04-01 09:00:01,2026-04,JOUAV 纵横,CW-15,5000,+10%
2026-04-01 09:00:01,2026-04,JOUAV 纵横,CW-15E,3000,+8%
2026-04-01 20:00:02,2026-04,大疆 DJI,Mini 4 Pro,500000,+5%
2026-04-01 20:00:02,2026-04,大疆 DJI,Air 3,350000,+8%
2026-04-01 20:00:02,2026-04,大疆 DJI,Mavic 3 Pro,280000,+3%
2026-04-01 20:00:02,2026-04,大疆 DJI,Mini SE,320000,+2%
2026-04-01 20:00:02,2026-04,XAG 极飞,P150 2025 款,25000,+15%
2026-04-01 20:00:02,2026-04,XAG 极飞,P40 2024 款,15000,-5%
2026-04-01 20:00:02,2026-04,JOUAV 纵横,CW-15,5000,+10%
2026-04-01 20:00:02,2026-04,JOUAV 纵横,CW-15E,3000,+8%
2026-04-02 09:00:02,2026-04,大疆 DJI,Mini 4 Pro,500000,+5%
2026-04-02 09:00:02,2026-04,大疆 DJI,Air 3,350000,+8%
2026-04-02 09:00:02,2026-04,大疆 DJI,Mavic 3 Pro,280000,+3%
2026-04-02 09:00:02,2026-04,大疆 DJI,Mini SE,320000,+2%
2026-04-02 09:00:02,2026-04,XAG 极飞,P150 2025 款,25000,+15%
2026-04-02 09:00:02,2026-04,XAG 极飞,P40 2024 款,15000,-5%
2026-04-02 09:00:02,2026-04,JOUAV 纵横,CW-15,5000,+10%
