收集时间,月份,品牌,型号,价格,环比
2026-03-30 10:43:32,2026-03,发那科 FANUC,M-20iD/25,180000,+2%
2026-03-30 10:43:32,2026-03,发那科 FANUC,M-10iD/12,150000,0%
2026-03-30 10:43:32,2026-03,发那科 FANUC,CR-35iA,450000,-3%
2026-03-30 10:43:32,2026-03,ABB,IRB 2600,200000,+1%
2026-03-30 10:43:32,2026-03,ABB,IRB 6700,380000,-2%
2026-03-30 10:43:32,2026-03,ABB,YuMi,280000,+5%
2026-03-30 10:43:32,2026-03,库卡 KUKA,KR 210,350000,0%
2026-03-30 10:43:32,2026-03,库卡 KUKA,KR 1000,680000,-5%
2026-03-30 10:43:32,2026-03,库卡 KUKA,LBR iiwa,420000,+3%
2026-03-30 10:43:32,2026-03,安川 YASKAWA,Motoman MH24,160000,+1%
2026-03-30 10:43:32,2026-03,安川 YASKAWA,Motoman GP25,190000,0%
2026-03-30 10:43:32,2026-03,国产机器人,埃斯顿 ER20,120000,+8%
2026-03-30 10:43:32,2026-03,国产机器人,新松 SR20,130000,+5%
2026-03-30 20:46:01,2026-03,发那科 FANUC,M-20iD/25,180000,+2%
2026-03-30 20:46:01,2026-03,发那科 FANUC,M-10iD/12,150000,0%
2026-03-30 20:46:01,2026-03,发那科 FANUC,CR-35iA,450000,-3%
2026-03-30 20:46:01,2026-03,ABB,IRB 2600,200000,+1%
2026-03-30 20:46:01,2026-03,ABB,IRB 6700,380000,-2%
2026-03-30 20:46:01,2026-03,ABB,YuMi,280000,+5%
2026-03-30 20:46:01,2026-03,库卡 KUKA,KR 210,350000,0%
2026-03-30 20:46:01,2026-03,库卡 KUKA,KR 1000,680000,-5%
2026-03-30 20:46:01,2026-03,库卡 KUKA,LBR iiwa,420000,+3%
2026-03-30 20:46:01,2026-03,安川 YASKAWA,Motoman MH24,160000,+1%
2026-03-30 20:46:01,2026-03,安川 YASKAWA,Motoman GP25,190000,0%
2026-03-30 20:46:01,2026-03,国产机器人,埃斯顿 ER20,120000,+8%
2026-03-30 20:46:01,2026-03,国产机器人,新松 SR20,130000,+5%
