品牌,型号,价格 (元),主要用途,使用者类型,2021 年销量,2022 年销量,2023 年销量,2024 年销量,2021 年事故数,2022 年事故数,2023 年事故数,2024 年事故数,事故总数 (2021 起),人员伤亡数,人伤金额 (元),机损金额 (元),物损金额 (元)
大疆 DJI,Mini 4 Pro,7499.00,航拍,个人用户,3000000,3500000,4000000,4500000,280,310,350,310,1250,15,150000.00,6800000.00,2500000.00
大疆 DJI,Air 3,12499.00,航拍,个人用户,2000000,2500000,2800000,3000000,220,260,280,220,980,12,120000.00,7500000.00,3200000.00
大疆 DJI,Mavic 3 Pro,14499.00,专业航拍,专业飞手,1500000,1800000,2000000,2200000,150,180,190,130,650,8,80000.00,7200000.00,3800000.00
大疆 DJI,Matrice 350 RTK,35999.00,电力巡检,企业用户,500000,600000,700000,800000,25,32,35,28,120,3,30000.00,6500000.00,2800000.00
XAG 极飞,P150 2025 款,89999.00,农业植保,企业用户,120000,150000,180000,210000,22,26,28,19,95,2,20000.00,2800000.00,1200000.00
JOUAV 纵横,CW-15,129999.00,测绘勘察,企业用户,50000,65000,80000,95000,10,12,13,7,42,1,10000.00,1800000.00,750000.00
大疆 DJI,Mini SE,5999.00,娱乐飞行,个人用户,2200000,2600000,2900000,3100000,150,180,200,170,700,8,80000.00,4200000.00,1680000.00
大疆 DJI,Air 2,11999.00,航拍,个人用户,650000,750000,850000,900000,85,100,115,100,400,4,40000.00,4000000.00,1600000.00
大疆 DJI,Inspire 2,32999.00,影视专业,企业用户,280000,340000,390000,420000,45,55,62,58,220,4,40000.00,6600000.00,2640000.00
大疆 DJI,Mavic 3M,38999.00,农业多光谱,企业用户,180000,210000,240000,260000,38,45,52,48,183,4,40000.00,5490000.00,2196000.00
Autel 道通,EVO Nano,9999.00,航拍,个人用户,150000,175000,195000,210000,55,65,72,68,260,5,50000.00,2340000.00,936000.00
Autel 道通,EVO Lite,14999.00,航拍,个人用户,120000,140000,160000,175000,42,50,58,52,202,4,40000.00,2828000.00,1131200.00
XAG 极飞,P40 2024 款,79999.00,农业植保,企业用户,85000,100000,115000,125000,28,35,40,38,141,4,40000.00,5640000.00,2256000.00
JOUAV 纵横,CW-15E,159999.00,测绘勘察,企业用户,28000,35000,40000,45000,8,10,12,11,41,2,20000.00,2460000.00,984000.00
Yuneec 昊翔,H520,24999.00,电力巡检,企业用户,55000,65000,72000,78000,18,22,25,23,88,4,40000.00,1760000.00,704000.00
Skydio,Skydio X10,16999.00,电力巡检,企业用户,42000,50000,58000,62000,12,15,18,16,61,2,20000.00,915000.00,366000.00
Parrot 派诺特,ANAFI Ai,27999.00,电力巡检,企业用户,65000,75000,82000,88000,15,18,20,19,72,4,40000.00,1440000.00,576000.00
