品牌,型号,价格 (元),主要用途,使用者类型,2021 年销量,2022 年销量,2023 年销量,2024 年销量,2021 年事故数,2022 年事故数,2023 年事故数,2024 年事故数,事故总数 (2021 起),人员伤亡数,机损金额 (元),物损金额 (元)
大疆 DJI,Mini 4 Pro,7499,航拍,个人用户,3000000,3500000,4000000,4500000,280,310,350,310,1250,15,6800000,2500000
大疆 DJI,Air 3,12499,航拍,个人用户,2000000,2500000,2800000,3000000,220,260,280,220,980,12,7500000,3200000
大疆 DJI,Mavic 3 Pro,14499,专业航拍,专业飞手,1500000,1800000,2000000,2200000,150,180,190,130,650,8,7200000,3800000
大疆 DJI,Matrice 350 RTK,35999,电力巡检,企业用户,500000,600000,700000,800000,25,32,35,28,120,3,6500000,2800000
XAG 极飞,P150 2025 款,89999,农业植保,企业用户,120000,150000,180000,210000,22,26,28,19,95,2,2800000,1200000
JOUAV 纵横,CW-15,129999,测绘勘察,企业用户,50000,65000,80000,95000,10,12,13,7,42,1,1800000,750000
大疆 DJI,Mini SE,5999,娱乐飞行,个人用户,2200000,2600000,2900000,3100000,150,180,200,170,700,8,4200000,1680000
大疆 DJI,Air 2,11999,航拍,个人用户,650000,750000,850000,900000,85,100,115,100,400,4,4000000,1600000
大疆 DJI,Inspire 2,32999,影视专业,企业用户,280000,340000,390000,420000,45,55,62,58,220,4,6600000,2640000
大疆 DJI,Mavic 3M,38999,农业多光谱,企业用户,180000,210000,240000,260000,38,45,52,48,183,4,5490000,2196000
Autel 道通,EVO Nano,9999,航拍,个人用户,150000,175000,195000,210000,55,65,72,68,260,5,2340000,936000
Autel 道通,EVO Lite,14999,航拍,个人用户,120000,140000,160000,175000,42,50,58,52,202,4,2828000,1131200
XAG 极飞,P40 2024 款,79999,农业植保,企业用户,85000,100000,115000,125000,28,35,40,38,141,4,5640000,2256000
JOUAV 纵横,CW-15E,159999,测绘勘察,企业用户,28000,35000,40000,45000,8,10,12,11,41,2,2460000,984000
Yuneec 昊翔,H520,24999,电力巡检,企业用户,55000,65000,72000,78000,18,22,25,23,88,4,1760000,704000
Skydio,Skydio X10,16999,电力巡检,企业用户,42000,50000,58000,62000,12,15,18,16,61,2,915000,366000
Parrot 派诺特,ANAFI Ai,27999,电力巡检,企业用户,65000,75000,82000,88000,15,18,20,19,72,4,1440000,576000
大疆 DJI,FlyCart 30,129999，物流运输，企业用户，0,800,2800,5200,0,5,12,18,35,0,1800000,650000
顺丰，方舟 Ark FH-908,189999，物流运输，企业用户，300,650,1200,1800,2,5,8,11,26,0,1200000,420000
美团，无人机 V21,159999，物流运输，企业用户，800,1500,3500,5800,5,12,22,31,70,1,2800000,980000
亿航智能，EH216-F,299999，物流运输，企业用户，0,150,450,780,0,2,5,7,14,0,2100000,750000
峰飞航空，V2000CG,349999，物流运输，企业用户，0,80,180,320,0,1,2,3,6,0,1500000,520000
迅蚁，TR7,139999，物流运输，企业用户，250,520,980,1450,3,6,7,9,25,0,890000,310000
京东，JDX-1,169999，物流运输，企业用户，400,850,1500,2100,4,7,10,13,34,0,1350000,480000
小鹏汇天，旅航者 X2-Cargo,279999，物流运输，企业用户，0,120,320,650,0,2,3,6,11,0,1100000,380000
