品牌,型号,价格 (元),主要用途,使用者类型,2021 年销量,2022 年销量,2023 年销量,2024 年销量,2021 年事故数,2022 年事故数,2023 年事故数,2024 年事故数,事故总数 (2021 起),人员伤亡数,人伤金额 (元),机损金额 (元),物损金额 (元)
大疆 DJI,Mini 4 Pro,7499.00,航拍,个人用户,3000000,3500000,4000000,4500000,280,310,350,310,1250,15,75000.00,6852631.58,2447368.42
大疆 DJI,Air 3,12499.00,航拍,个人用户,2000000,2500000,2800000,3000000,220,260,280,220,980,12,60000.00,7884210.53,2815789.47
大疆 DJI,Mavic 3 Pro,14499.00,专业航拍,专业飞手,1500000,1800000,2000000,2200000,150,180,190,130,650,8,160000.00,7944444.44,3055555.56
大疆 DJI,Matrice 350 RTK,35999.00,电力巡检,企业用户,500000,600000,700000,800000,25,32,35,28,120,3,60000.00,7342105.26,1957894.74
XAG 极飞,P150 2025 款,89999.00,农业植保,企业用户,120000,150000,180000,210000,22,26,28,19,95,2,40000.00,3265306.12,734693.88
JOUAV 纵横,CW-15,129999.00,测绘勘察,企业用户,50000,65000,80000,95000,10,12,13,7,42,1,20000.00,2211734.69,338265.31
大疆 DJI,Mini SE,5999.00,娱乐飞行,个人用户,2200000,2600000,2900000,3100000,150,180,200,170,700,8,40000.00,4023157.89,1856842.11
大疆 DJI,Air 2,11999.00,航拍,个人用户,650000,750000,850000,900000,85,100,115,100,400,4,20000.00,4126315.79,1473684.21
大疆 DJI,Inspire 2,32999.00,影视专业,企业用户,280000,340000,390000,420000,45,55,62,58,220,4,80000.00,6673333.33,2566666.67
大疆 DJI,Mavic 3M,38999.00,农业多光谱,企业用户,180000,210000,240000,260000,38,45,52,48,183,4,80000.00,6274285.71,1411714.29
Autel 道通,EVO Nano,9999.00,航拍,个人用户,150000,175000,195000,210000,55,65,72,68,260,5,25000.00,2413894.74,862105.26
Autel 道通,EVO Lite,14999.00,航拍,个人用户,120000,140000,160000,175000,42,50,58,52,202,4,20000.00,2917305.26,1041894.74
XAG 极飞,P40 2024 款,79999.00,农业植保,企业用户,85000,100000,115000,125000,28,35,40,38,141,4,80000.00,6445714.29,1450285.71
JOUAV 纵横,CW-15E,159999.00,测绘勘察,企业用户,28000,35000,40000,45000,8,10,12,11,41,2,40000.00,2987142.86,456857.14
Yuneec 昊翔,H520,24999.00,电力巡检,企业用户,55000,65000,72000,78000,18,22,25,23,88,4,80000.00,1945263.16,518736.84
Skydio,Skydio X10,16999.00,电力巡检,企业用户,42000,50000,58000,62000,12,15,18,16,61,2,40000.00,1011315.79,269684.21
Parrot 派诺特,ANAFI Ai,27999.00,电力巡检,企业用户,65000,75000,82000,88000,15,18,20,19,72,4,80000.00,1591578.95,424421.05
