brand,model,year,unit_price_cny,purpose,user_type,flights_2021,flights_2022,flights_2023,flights_2024,sales_2021,sales_2022,sales_2023,sales_2024,accidents_2021,accidents_2022,accidents_2023,accidents_2024,total_accidents,casualties,cargo_loss_accidents,cargo_loss_value_cny,avg_cargo_loss_cny,cargo_loss_rate_per_mille,hull_damage_cny,property_damage_cny,risk_level,risk_coefficient,insurance_rate_hull_per_mille,insurance_rate_liability_per_mille,insurance_rate_cargo_per_mille,comprehensive_rate_percent,annual_premium_cny
DJI,FlyCart 30,2023,129999,logistics,enterprise,0,800,125000,298000,0,800,2800,5200,0,5,12,18,35,0,12,1850000,154167,0.061,1800000,650000,medium,1.55,38.8,18.6,3.75,6.12,79560
DJI,FlyCart 30,2024,129999,logistics,enterprise,0,800,125000,298000,0,800,2800,5200,0,5,12,18,35,0,18,2680000,148889,0.060,1800000,650000,medium,1.55,38.8,18.6,3.75,6.12,79560
SF,Ark FH-908,2021,189999,logistics,enterprise,45000,125000,280000,420000,300,650,1200,1800,2,5,8,11,26,0,3,280000,93333,0.067,1200000,420000,low,1.45,36.3,17.4,3.15,5.69,108110
SF,Ark FH-908,2022,189999,logistics,enterprise,45000,125000,280000,420000,300,650,1200,1800,2,5,8,11,26,0,6,620000,103333,0.048,1200000,420000,low,1.45,36.3,17.4,3.15,5.69,108110
SF,Ark FH-908,2023,189999,logistics,enterprise,45000,125000,280000,420000,300,650,1200,1800,2,5,8,11,26,0,9,980000,108889,0.032,1200000,420000,low,1.45,36.3,17.4,3.15,5.69,108110
SF,Ark FH-908,2024,189999,logistics,enterprise,45000,125000,280000,420000,300,650,1200,1800,2,5,8,11,26,0,11,1250000,113636,0.026,1200000,420000,low,1.45,36.3,17.4,3.15,5.69,108110
Meituan,V21,2021,159999,logistics,enterprise,180000,520000,1250000,2100000,800,1500,3500,5800,5,12,22,31,70,1,8,420000,52500,0.044,2800000,980000,low,1.65,41.3,19.8,3.00,6.41,102560
Meituan,V21,2022,159999,logistics,enterprise,180000,520000,1250000,2100000,800,1500,3500,5800,5,12,22,31,70,1,18,980000,54444,0.035,2800000,980000,low,1.65,41.3,19.8,3.00,6.41,102560
Meituan,V21,2023,159999,logistics,enterprise,180000,520000,1250000,2100000,800,1500,3500,5800,5,12,22,31,70,1,28,1580000,56429,0.022,2800000,980000,low,1.65,41.3,19.8,3.00,6.41,102560
Meituan,V21,2024,159999,logistics,enterprise,180000,520000,1250000,2100000,800,1500,3500,5800,5,12,22,31,70,1,35,2050000,58571,0.017,2800000,980000,low,1.65,41.3,19.8,3.00,6.41,102560
EHang,EH216-F,2022,299999,logistics,enterprise,0,150,8500,45000,0,150,450,780,0,2,5,7,14,0,2,580000,290000,0.235,2100000,750000,high,1.70,42.5,20.4,4.74,6.76,202800
EHang,EH216-F,2023,299999,logistics,enterprise,0,150,8500,45000,0,150,450,780,0,2,5,7,14,0,5,1280000,256000,0.227,2100000,750000,high,1.70,42.5,20.4,4.74,6.76,202800
EHang,EH216-F,2024,299999,logistics,enterprise,0,150,8500,45000,0,150,450,780,0,2,5,7,14,0,7,1850000,264286,0.156,2100000,750000,high,1.70,42.5,20.4,4.74,6.76,202800
Vertiflite,V2000CG,2022,349999,logistics,enterprise,0,80,3200,18000,0,80,180,320,0,1,2,3,6,0,1,280000,280000,0.313,1500000,520000,high,1.40,35.0,16.8,4.86,5.67,198450
Vertiflite,V2000CG,2023,349999,logistics,enterprise,0,80,3200,18000,0,80,180,320,0,1,2,3,6,0,2,520000,260000,0.235,1500000,520000,high,1.40,35.0,16.8,4.86,5.67,198450
Vertiflite,V2000CG,2024,349999,logistics,enterprise,0,80,3200,18000,0,80,180,320,0,1,2,3,6,0,3,780000,260000,0.167,1500000,520000,high,1.40,35.0,16.8,4.86,5.67,198450
Antwork,TR7,2021,139999,logistics_medical,enterprise,28000,65000,145000,235000,250,520,980,1450,3,6,7,9,25,0,3,185000,61667,0.107,890000,310000,medium,1.50,37.5,18.0,3.54,5.90,82600
Antwork,TR7,2022,139999,logistics_medical,enterprise,28000,65000,145000,235000,250,520,980,1450,3,6,7,9,25,0,5,320000,64000,0.077,890000,310000,medium,1.50,37.5,18.0,3.54,5.90,82600
Antwork,TR7,2023,139999,logistics_medical,enterprise,28000,65000,145000,235000,250,520,980,1450,3,6,7,9,25,0,8,520000,65000,0.055,890000,310000,medium,1.50,37.5,18.0,3.54,5.90,82600
Antwork,TR7,2024,139999,logistics_medical,enterprise,28000,65000,145000,235000,250,520,980,1450,3,6,7,9,25,0,10,680000,68000,0.043,890000,310000,medium,1.50,37.5,18.0,3.54,5.90,82600
JD,JDX-1,2021,169999,logistics,enterprise,52000,125000,280000,450000,400,850,1500,2100,4,7,10,13,34,0,4,320000,80000,0.077,1350000,480000,medium,1.55,38.8,18.6,3.36,6.08,103360
JD,JDX-1,2022,169999,logistics,enterprise,52000,125000,280000,450000,400,850,1500,2100,4,7,10,13,34,0,8,680000,85000,0.064,1350000,480000,medium,1.55,38.8,18.6,3.36,6.08,103360
JD,JDX-1,2023,169999,logistics,enterprise,52000,125000,280000,450000,400,850,1500,2100,4,7,10,13,34,0,12,1050000,87500,0.043,1350000,480000,medium,1.55,38.8,18.6,3.36,6.08,103360
JD,JDX-1,2024,169999,logistics,enterprise,52000,125000,280000,450000,400,850,1500,2100,4,7,10,13,34,0,15,1380000,92000,0.033,1350000,480000,medium,1.55,38.8,18.6,3.36,6.08,103360
XPeng,X2-Cargo,2023,279999,logistics,enterprise,0,120,12000,32000,0,120,320,650,0,2,3,6,11,0,3,480000,160000,0.250,1100000,380000,high,1.60,40.0,19.2,4.95,6.42,179760
XPeng,X2-Cargo,2024,279999,logistics,enterprise,0,120,12000,32000,0,120,320,650,0,2,3,6,11,0,6,920000,153333,0.188,1100000,380000,high,1.60,40.0,19.2,4.95,6.42,179760
