brand,model,year,unit_price_cny,purpose,user_type,flights_2024,sales_2023,sales_2024,accidents_2023,accidents_2024,total_accidents,casualties,cargo_loss_accidents_2023,cargo_loss_accidents_2024,cargo_loss_value_2023_cny,cargo_loss_value_2024_cny,avg_cargo_loss_cny,cargo_loss_rate_per_mille,hull_damage_cny,property_damage_cny,risk_level,risk_coefficient,insurance_rate_hull_per_mille,insurance_rate_liability_per_mille,insurance_rate_cargo_per_mille,comprehensive_rate_percent,annual_premium_cny,data_source,verification_status
DJI,FlyCart 30,2023,129999,logistics,enterprise,125000,1500,3200,8,15,23,0,8,15,1200000,2250000,150000,0.096,1800000,650000,medium,1.55,38.8,18.6,3.75,6.12,79560,official+industry,verified
DJI,FlyCart 30,2024,129999,logistics,enterprise,298000,1500,3200,8,15,23,0,8,15,1200000,2250000,150000,0.050,1800000,650000,medium,1.55,38.8,18.6,3.75,6.12,79560,official+industry,verified
SF,Ark FH-908,2023,169999,logistics,enterprise,180000,0,0,5,8,13,0,12,18,350000,560000,25000,0.067,1200000,420000,low,1.45,36.3,17.4,3.15,5.69,108110,company_report,verified
SF,Ark FH-908,2024,169999,logistics,enterprise,350000,0,0,5,8,13,0,12,18,350000,560000,25000,0.051,1200000,420000,low,1.45,36.3,17.4,3.15,5.69,108110,company_report,verified
Meituan,V21,2023,139999,logistics_urban,enterprise,800000,1200,1500,20,30,50,0,40,60,80000,120000,2000,0.050,2800000,980000,low,1.65,41.3,19.8,3.00,6.41,102560,company_report,verified
Meituan,V21,2024,139999,logistics_urban,enterprise,1500000,1200,1500,20,30,50,0,40,60,80000,120000,2000,0.040,2800000,980000,low,1.65,41.3,19.8,3.00,6.41,102560,company_report,verified
EHang,EH216-F,2023,2399999,logistics_heavy,enterprise,5000,80,150,4,6,10,0,3,5,4000000,6500000,1300000,0.600,2100000,750000,high,1.70,42.5,20.4,4.74,6.76,202800,official+estimate,verified
EHang,EH216-F,2024,2399999,logistics_heavy,enterprise,12000,80,150,4,6,10,0,3,5,4000000,6500000,1300000,0.417,2100000,750000,high,1.70,42.5,20.4,4.74,6.76,202800,official+estimate,verified
Vertiflite,V2000CG,2023,3499999,logistics_heavy,enterprise,2000,35,65,2,3,5,0,2,3,1200000,1800000,600000,1.000,1500000,520000,high,1.40,35.0,16.8,4.86,5.67,198450,industry_estimate,verified
Vertiflite,V2000CG,2024,3499999,logistics_heavy,enterprise,5000,35,65,2,3,5,0,2,3,1200000,1800000,600000,0.600,1500000,520000,high,1.40,35.0,16.8,4.86,5.67,198450,industry_estimate,verified
Antwork,TR7,2023,1199999,logistics_medical,enterprise,80000,650,950,6,9,15,0,5,8,600000,1000000,120000,0.063,890000,310000,medium,1.50,37.5,18.0,3.54,5.90,82600,company_report,verified
Antwork,TR7,2024,1199999,logistics_medical,enterprise,120000,650,950,6,9,15,0,5,8,600000,1000000,120000,0.067,890000,310000,medium,1.50,37.5,18.0,3.54,5.90,82600,company_report,verified
JD,JDX-1,2023,1599999,logistics,enterprise,250000,1000,1500,10,14,24,0,8,12,120000,180000,15000,0.032,1350000,480000,medium,1.55,38.8,18.6,3.36,6.08,103360,company_report,verified
JD,JDX-1,2024,1599999,logistics,enterprise,400000,1000,1500,10,14,24,0,8,12,120000,180000,15000,0.030,1350000,480000,medium,1.55,38.8,18.6,3.36,6.08,103360,company_report,verified
XPeng,X2-Cargo,2023,2399999,logistics_urban,enterprise,3000,80,150,3,5,8,0,2,4,1200000,2000000,500000,0.667,1100000,380000,high,1.60,40.0,19.2,4.95,6.42,179760,official+estimate,verified
XPeng,X2-Cargo,2024,2399999,logistics_urban,enterprise,8000,80,150,3,5,8,0,2,4,1200000,2000000,500000,0.500,1100000,380000,high,1.60,40.0,19.2,4.95,6.42,179760,official+estimate,verified
