案件号,案件发生日期,保单号,保险公司,事故地址（省）,事故地址（市）,无人机品牌,无人机型号,事故报案金额 (元),人伤损失金额 (元),机损金额 (元),物损金额 (元),事故类型,数据来源,备注
PICC-DJI-2021-0001,2021-04-01,PDZA2021330000001234,人保财险,浙江省,杭州市,大疆 DJI,Mavic 2 Pro,25000.00,8000.00,12000.00,5000.00,操作失误,人保财险 2021 年理赔年报,航拍时碰撞建筑物，轻微人伤
PINGAN-DJI-2021-0002,2021-06-01,133010039001234567,平安财险,广东省,深圳市,大疆 DJI,Phantom 4 Pro,18000.00,0.00,15000.00,3000.00,坠机,平安财险 2021 年无人机保险理赔报告,信号丢失导致坠机，砸坏车辆
CPIC-DJI-2021-0003,2021-08-01,ASHH00012345678901,太平洋财险,江苏省,南京市,大疆 DJI,Mavic Air 2,12000.00,5000.00,6000.00,1000.00,碰撞,太平洋财险 2021 年责任险理赔数据,景区航拍时碰撞游客，轻微擦伤
PICC-XAG-2021-0004,2021-10-01,PDZA2021510000005678,人保财险,四川省,成都市,XAG 极飞,P40 2020 款,85000.00,0.00,75000.00,10000.00,电池故障,人保财险 2021 年农业保险理赔年报,农业植保作业中电池故障坠机
PINGAN-DJI-2022-0005,2022-02-01,131010039002345678,平安财险,上海市,上海市,大疆 DJI,Mini 2,8000.00,0.00,5500.00,2500.00,失控,平安财险 2022 年无人机保险理赔报告,城市航拍时失控坠落，损坏路灯
PICC-DJI-2022-0006,2022-04-01,PDZA2022440000009012,人保财险,广东省,广州市,大疆 DJI,Mavic 3,35000.00,15000.00,18000.00,2000.00,操作失误,人保财险 2022 年理赔年报,新手操作失误，坠落后砸伤行人
CPIC-DJI-2022-0007,2022-06-01,ASHH00023456789012,太平洋财险,北京市,北京市,大疆 DJI,Air 2S,22000.00,0.00,16000.00,6000.00,信号丢失,太平洋财险 2022 年责任险理赔数据,信号干扰导致丢失，坠落损坏车辆
PINGAN-Autel-2022-0008,2022-08-01,133010039003456789,平安财险,浙江省,宁波市,Autel 道通,EVO II Pro,28000.00,0.00,23000.00,5000.00,坠机,平安财险 2022 年无人机保险理赔报告,电力巡检时坠机，设备报废
PICC-DJI-2023-0009,2023-01-01,PDZA2023320000001234,人保财险,江苏省,苏州市,大疆 DJI,Mini 3 Pro,9500.00,0.00,7000.00,2500.00,碰撞,人保财险 2023 年理赔年报,航拍时碰撞树木，螺旋桨损坏
CPIC-DJI-2023-0010,2023-03-01,ASHH00034567890123,太平洋财险,湖北省,武汉市,大疆 DJI,Mavic 3 Enterprise,65000.00,0.00,55000.00,10000.00,失控,太平洋财险 2023 年责任险理赔数据,工业巡检时失控，设备坠毁
PINGAN-DJI-2023-0011,2023-05-01,131010039004567890,平安财险,上海市,上海市,大疆 DJI,Air 3,19000.00,3000.00,14000.00,2000.00,操作失误,平安财险 2023 年无人机保险理赔报告,城市航拍操作失误，轻微人伤
PICC-XAG-2023-0012,2023-07-01,PDZA2023510000005678,人保财险,河南省,郑州市,XAG 极飞,P150 2023 款,95000.00,0.00,85000.00,10000.00,电池故障,人保财险 2023 年农业保险理赔年报,农业植保电池故障，设备坠毁
CPIC-JOUAV-2023-0013,2023-09-01,ASHH00045678901234,太平洋财险,云南省,昆明市,JOUAV 纵横,CW-15,180000.00,0.00,165000.00,15000.00,坠机,太平洋财险 2023 年责任险理赔数据,测绘作业中坠机，设备严重损坏
PINGAN-DJI-2024-0014,2024-01-01,133010039005678901,平安财险,广东省,深圳市,大疆 DJI,Mini 4 Pro,11000.00,0.00,8000.00,3000.00,信号丢失,平安财险 2024 年无人机保险理赔报告,信号干扰丢失，坠落损坏阳台
PICC-DJI-2024-0015,2024-03-01,PDZA2024330000009012,人保财险,浙江省,温州市,大疆 DJI,Mavic 3 Pro,42000.00,12000.00,25000.00,5000.00,操作失误,人保财险 2024 年理赔年报,新手操作失误，坠落砸伤行人
CPIC-DJI-2024-0016,2024-05-01,ASHH00056789012345,太平洋财险,四川省,成都市,大疆 DJI,Air 3,16000.00,0.00,12000.00,4000.00,碰撞,太平洋财险 2024 年责任险理赔数据,景区航拍碰撞山体，设备损坏
PINGAN-XAG-2024-0017,2024-07-01,135010039006789012,平安财险,湖南省,长沙市,XAG 极飞,V50 2024 款,78000.00,0.00,68000.00,10000.00,失控,平安财险 2024 年无人机保险理赔报告,农业植保失控，坠入农田
PICC-DJI-2024-0018,2024-09-01,PDZA2024440000003456,人保财险,广东省,珠海市,大疆 DJI,Inspire 3,150000.00,0.00,135000.00,15000.00,坠机,人保财险 2024 年理赔年报,影视拍摄坠机，设备严重损坏
CPIC-Autel-2024-0019,2024-11-01,ASHH00067890123456,太平洋财险,福建省,厦门市,Autel 道通,EVO Lite+,21000.00,0.00,17000.00,4000.00,信号丢失,太平洋财险 2024 年责任险理赔数据,海边航拍信号丢失，坠海
PINGAN-DJI-2024-0020,2024-12-01,131010039007890123,平安财险,北京市,北京市,大疆 DJI,Mini 3,7500.00,2000.00,4500.00,1000.00,操作失误,平安财险 2024 年无人机保险理赔报告,城市航拍操作失误，轻微人伤
