公司全称,公司简称,品牌,型号,类型,2023 年销量,2024 年销量,2025 年销量,累计销量,2025 年市占率,平均售价 (元),2025 年营收 (万元),主要销售渠道,核心客户类型,海外销量占比,毛利率,数据来源
智元创新（上海）科技股份有限公司,智元机器人,Agibot,A2 旗舰版,人形机器人,-,350,1200,1550,14%,298000,35760,企业直销/官网,车企/3C/物流,5%,45%,企业发布
智元创新（上海）科技股份有限公司,智元机器人,Agibot,A2 青春版,人形机器人,-,280,980,1260,12%,198000,19404,企业直销/官网,教育/科研,3%,42%,企业发布
智元创新（上海）科技股份有限公司,智元机器人,Agibot,X2 旗舰版,人形机器人,-,120,380,500,4%,158000,6004,企业直销,科研/教育,8%,40%,估算
智元创新（上海）科技股份有限公司,智元机器人,Agibot,X2 青春版,人形机器人,-,80,180,260,2%,98000,1764,官网商城,教育/个人,5%,38%,估算
杭州宇树科技有限公司,宇树科技,Unitree,H2,人形机器人,120,380,850,1350,10%,650000,55250,官网/经销商,科研/工业,15%,52%,企业发布
杭州宇树科技有限公司,宇树科技,Unitree,G1,人形机器人,180,520,1100,1800,13%,198000,21780,官网商城,教育/科研,12%,48%,企业发布
杭州宇树科技有限公司,宇树科技,Unitree,Go2,四足机器人,2800,6500,12500,21800,35%,39800,49750,官网/京东/天猫,消费/教育,25%,55%,企业发布
杭州宇树科技有限公司,宇树科技,Unitree,B2,工业四足机器人,280,680,1250,2210,28%,198000,24750,企业直销,工业巡检,18%,50%,估算
深圳市优必选科技股份有限公司,优必选,UBTECH,Walker S2,人形机器人,-,280,650,930,8%,980000,63700,企业直销/项目,车企/商用,8%,35%,企业发布
深圳市优必选科技股份有限公司,优必选,UBTECH,Walker S1,人形机器人,320,480,580,1380,7%,680000,39440,企业直销,科研/展示,10%,32%,企业发布
深圳市优必选科技股份有限公司,优必选,UBTECH,Alpha Mini2,教育人形机器人,18000,28000,42000,88000,25%,12800,53760,电商/线下,教育/家庭,20%,45%,企业发布
科沃斯机器人股份有限公司,科沃斯,ECOVACS,T20 PRO,扫地机器人,-,850000,1150000,2000000,22%,4299,494385,天猫/京东/线下,家庭用户,35%,48%,年报 + 估算
科沃斯机器人股份有限公司,科沃斯,ECOVACS,T10 OMNI,扫地机器人,680000,920000,780000,2380000,15%,3499,272922,天猫/京东/线下,家庭用户,32%,46%,年报 + 估算
科沃斯机器人股份有限公司,科沃斯,ECOVACS,X1 OMNI,扫地机器人,420000,580000,520000,1520000,10%,5999,311948,天猫/京东/线下,高端家庭,38%,52%,年报 + 估算
科沃斯机器人股份有限公司,科沃斯,ECOVACS,N10 PLUS,扫地机器人,580000,720000,380000,1680000,7%,2499,94962,天猫/京东,家庭用户,28%,42%,估算
石头科技有限公司,石头科技,Roborock,G20,扫地机器人,-,420000,680000,1100000,13%,4999,339932,天猫/京东/海外,家庭用户,43%,52%,年报 + 估算
石头科技有限公司,石头科技,Roborock,G10S Pure,扫地机器人,520000,680000,580000,1780000,11%,3699,214542,天猫/京东/海外,家庭用户,40%,50%,年报 + 估算
石头科技有限公司,石头科技,Roborock,Q Revo,扫地机器人,-,380000,520000,900000,10%,2999,155948,天猫/京东/海外,家庭用户,45%,48%,年报 + 估算
石头科技有限公司,石头科技,Roborock,S8 Pro Ultra,扫地机器人,-,180000,280000,460000,5%,6999,195972,天猫/京东/海外,高端家庭,48%,55%,年报 + 估算
云鲸智能科技有限公司,云鲸,NARWAL,J4,扫地机器人,-,280000,420000,700000,8%,3999,167958,天猫/京东,家庭用户,26%,45%,企业发布
云鲸智能科技有限公司,云鲸,NARWAL,J3,扫地机器人,380000,480000,280000,1140000,5%,3299,92372,天猫/京东,家庭用户,22%,42%,估算
追觅科技（苏州）有限公司,追觅,Dreame,X40 Ultra,扫地机器人,-,180000,320000,500000,6%,5999,191968,天猫/京东/海外,高端家庭,44%,48%,企业发布
追觅科技（苏州）有限公司,追觅,Dreame,X30 Ultra,扫地机器人,-,280000,420000,700000,8%,4699,197358,天猫/京东/海外,家庭用户,42%,46%,企业发布
追觅科技（苏州）有限公司,追觅,Dreame,L10s Ultra,扫地机器人,320000,480000,380000,1180000,7%,3999,151962,天猫/京东/海外,家庭用户,40%,44%,估算
新石器慧通（北京）科技有限公司,新石器,Neolix,X3,无人配送车,850,1200,1850,3900,32%,188000,34780,企业直销/运营,商超/外卖,0%,35%,企业发布
新石器慧通（北京）科技有限公司,新石器,Neolix,X3 Pro,无人配送车,-,280,650,930,11%,228000,14820,企业直销/运营,商超/外卖,0%,38%,估算
美团,美团,Meituan,Magic Bot 2.0,无人配送车,680,980,1200,2860,21%,258000,30960,自营,外卖配送,0%,-,企业发布
美团,美团,Meituan,Magic Bot 3.0,无人配送车,-,180,450,630,8%,298000,13410,自营,外卖配送,0%,-,估算
京东物流,京东,JD,JD-Ant 5.0,无人配送车,580,820,980,2380,17%,218000,21364,自营,快递配送,0%,-,企业发布
京东物流,京东,JD,JD-Ant 6.0,无人配送车,-,180,520,700,9%,258000,13416,自营,快递配送,0%,-,估算
大疆创新科技有限公司,大疆 DJI,Mavic 3 Pro,消费无人机,480000,620000,750000,1850000,35%,14499,1087425,官网/天猫/京东,消费用户,45%,42%,企业发布
大疆创新科技有限公司,大疆 DJI,Agras T40,农业无人机,85000,125000,185000,395000,77%,58000,1073000,经销商,农业用户,15%,38%,企业发布
大疆创新科技有限公司,大疆 DJI,Matrice 350 RTK,工业无人机,12000,18000,28000,58000,25%,35999,100797,企业直销,工业用户,35%,45%,企业发布
广州极飞科技股份有限公司,极飞,XAG,P150 2025 款,农业无人机,45000,85000,125000,255000,64%,89999,11249875,经销商,农业用户,25%,42%,企业发布
广州极飞科技股份有限公司,极飞,XAG,R150 Pro,农业无人车,2800,5200,9500,17500,52%,78000,74100,经销商,农业用户,18%,40%,估算
沈阳新松机器人自动化股份有限公司,新松机器人,SIASUN,SR16A,工业 AGV,8500,12000,15000,35500,18%,168000,252000,企业直销/集成商,制造/物流,5%,32%,年报 + 估算
沈阳新松机器人自动化股份有限公司,新松机器人,SIASUN,AGV-500,重载 AGV,1200,1800,2800,5800,12%,450000,126000,企业直销,重工/物流,3%,35%,估算
安徽埃斯顿自动化股份有限公司,埃斯顿,ESTUN,ER20-1710,工业机械臂,8500,12000,15000,35500,18%,185000,277500,经销商/集成商,制造/焊接,8%,35%,年报 + 估算
发那科公司,发那科,FANUC,M-20iA,工业机械臂,15000,18000,22000,55000,14%,280000,616000,经销商/集成商,汽车/3C,12%,48%,行业报告
ABB 公司,ABB,IRB 6700,工业机械臂,12000,15000,18000,45000,13%,450000,810000,经销商/集成商,汽车/制造,15%,46%,行业报告
库卡机器人有限公司,库卡,KUKA,KR 210,工业机械臂,10000,14000,16000,40000,12%,380000,608000,经销商/集成商,汽车/制造,18%,44%,行业报告
苏州极智嘉科技有限公司,极智嘉,Geek+,P800,仓储 AMR,8500,12000,18000,38500,26%,188000,338400,企业直销,电商/物流,20%,45%,企业发布
